concurso;data;j1;j2;j3;j4;j5;j6;j7;j8;j9;j10;j11;j12;j13;j14;ganhadores_14;rateio_14;ganhadores_13;rateio_13;acumulado
1;2002-02-18;;;;;;;;;;;;;;;2;5598599.0;44;254481.0;não
2;2002-02-25;;;;;;;;;;;;;;;135;104879.0;4737;2977.0;não
3;2002-03-04;;;;;;;;;;;;;;;2;6615485.0;94;140755.0;não
4;2002-03-11;;;;;;;;;;;;;;;223;54772.0;4834;2527.0;não
5;2002-03-18;;;;;;;;;;;;;;;0;0.0;1;12745218.0;sim
6;2002-03-25;;;;;;;;;;;;;;;3;8147416.0;54;216611.0;não
7;2002-04-01;;;;;;;;;;;;;;;2;5395484.0;126;85642.0;não
8;2002-04-08;;;;;;;;;;;;;;;5;2198768.0;96;114519.0;não
9;2002-04-18;;;;;;;;;;;;;;;0;0.0;89;132814.0;sim
10;2002-04-22;;;;;;;;;;;;;;;0;0.0;33;251837.0;sim
11;2002-04-29;;;;;;;;;;;;;;;2;16812145.0;115;117332.0;não
12;2002-05-06;;;;;;;;;;;;;;;5;1310325.0;90;7252.0;não
13;2002-05-13;;;;;;;;;;;;;;;92;8687.0;2026;393.0;não
14;2002-05-20;;;;;;;;;;;;;;;0;0.0;37;179196.0;sim
15;2002-05-27;;;;;;;;;;;;;;;13;1105228.0;436;17679.0;não
16;2002-06-06;;;;;;;;;;;;;;;7;1975676.0;157;88087.0;não
17;2002-06-11;;;;;;;;;;;;;;;0;0.0;22;422117.0;sim
18;2002-06-14;;;;;;;;;;;;;;;1;19029787.0;49;198841.0;não
19;2002-06-18;;;;;;;;;;;;;;;20;330548.0;401;16424.0;não
20;2002-06-24;;;;;;;;;;;;;;;2;2190422.0;52;84247.0;não
21;2002-07-01;;;;;;;;;;;;;;;3;1376556.0;107;38449.0;não
22;2002-07-11;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
23;2002-07-15;;;;;;;;;;;;;;;0;0.0;37;152014.0;sim
24;2002-07-22;;;;;;;;;;;;;;;4;5094295.0;109;50924.0;não
25;2002-07-30;;;;;;;;;;;;;;;0;0.0;6;647827.0;sim
26;2002-08-05;;;;;;;;;;;;;;;0;0.0;6;716315.0;sim
27;2002-08-12;;;;;;;;;;;;;;;31;502151.0;746;9858.0;não
28;2002-08-19;;;;;;;;;;;;;;;0;0.0;5;1034272.0;sim
29;2002-08-26;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
30;2002-09-02;;;;;;;;;;;;;;;5;15795258.0;134;65946.0;não
31;2002-09-09;;;;;;;;;;;;;;;88;238475.0;1625;3676.0;não
32;2002-09-16;;;;;;;;;;;;;;;3;8021863.0;127;53936.0;não
33;2002-09-23;;;;;;;;;;;;;;;0;0.0;13;498249.0;sim
34;2002-09-30;;;;;;;;;;;;;;;0;0.0;51;140709.0;sim
35;2002-10-07;;;;;;;;;;;;;;;33;2388506.0;1243;7106.0;não
36;2002-10-14;;;;;;;;;;;;;;;0;0.0;12;424992.0;sim
37;2002-10-21;;;;;;;;;;;;;;;15;3085811.0;524;15448.0;não
38;2002-10-28;;;;;;;;;;;;;;;22;757434.0;399;11888.0;não
39;2002-11-04;;;;;;;;;;;;;;;1;16880464.0;106;45328.0;não
40;2002-11-11;;;;;;;;;;;;;;;0;0.0;5;1160004.0;sim
41;2002-11-18;;;;;;;;;;;;;;;0;0.0;6;1066282.0;sim
42;2002-11-25;;;;;;;;;;;;;;;8;8693167.0;134;5704.0;não
43;2002-12-02;;;;;;;;;;;;;;;0;0.0;1;4406998.0;sim
44;2002-12-09;;;;;;;;;;;;;;;0;0.0;62;95622.0;sim
45;2002-12-16;;;;;;;;;;;;;;;1;66724384.0;80;109107.0;não
46;2002-12-23;;;;;;;;;;;;;;;0;0.0;1;535413.0;sim
47;2003-01-13;;;;;;;;;;;;;;;0;0.0;14;429038.0;sim
48;2003-01-20;;;;;;;;;;;;;;;30;2219899.0;773;9882.0;não
49;2003-01-27;;;;;;;;;;;;;;;6;2962064.0;162;31225.0;não
50;2003-02-03;;;;;;;;;;;;;;;8;2493305.0;421;13486.0;não
51;2003-02-10;;;;;;;;;;;;;;;1;20351071.0;59;98553.0;não
52;2003-02-17;;;;;;;;;;;;;;;8;2632614.0;266;22537.0;não
53;2003-02-24;;;;;;;;;;;;;;;1;24766735.0;37;191249.0;não
54;2003-03-06;;;;;;;;;;;;;;;2;8032285.0;39;117689.0;não
55;2003-03-10;;;;;;;;;;;;;;;22;724787.0;863;5259.0;não
56;2003-03-17;;;;;;;;;;;;;;;0;0.0;20;283233.0;sim
57;2003-03-24;;;;;;;;;;;;;;;878;50884.0;12693;561.0;não
58;2003-03-31;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
59;2003-04-07;;;;;;;;;;;;;;;0;0.0;6;1182235.0;sim
60;2003-04-14;;;;;;;;;;;;;;;67;1243917.0;1399;6535.0;não
61;2003-04-22;;;;;;;;;;;;;;;5;3702254.0;88;59874.0;não
62;2003-04-28;;;;;;;;;;;;;;;0;0.0;13;452443.0;sim
63;2003-05-05;;;;;;;;;;;;;;;2;23187632.0;112;6554.0;não
64;2003-05-12;;;;;;;;;;;;;;;3;7684262.0;74;89007.0;não
65;2003-05-19;;;;;;;;;;;;;;;3;7888555.0;86;78326.0;não
66;2003-05-26;;;;;;;;;;;;;;;1;22330033.0;86;73905.0;não
67;2003-06-02;;;;;;;;;;;;;;;29;951128.0;2167;3624.0;não
68;2003-06-09;;;;;;;;;;;;;;;0;0.0;3;2474262.0;sim
69;2003-06-16;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
70;2003-06-23;;;;;;;;;;;;;;;194;538013.0;3490;3367.0;não
71;2003-06-30;;;;;;;;;;;;;;;2;12234507.0;88;79144.0;não
72;2003-07-07;;;;;;;;;;;;;;;1;26011907.0;67;110925.0;não
73;2003-07-14;;;;;;;;;;;;;;;0;0.0;5;1402215.0;sim
74;2003-07-21;;;;;;;;;;;;;;;789;70365.0;11410;779.0;não
75;2003-07-28;;;;;;;;;;;;;;;0;0.0;15;478165.0;sim
76;2003-08-04;;;;;;;;;;;;;;;1;59047798.0;7;1385476.0;não
77;2003-08-11;;;;;;;;;;;;;;;0;0.0;8;914917.0;sim
78;2003-08-18;;;;;;;;;;;;;;;0;0.0;4;2266845.0;sim
79;2003-08-25;;;;;;;;;;;;;;;838;120902.0;13357;938.0;não
80;2003-09-01;;;;;;;;;;;;;;;0;0.0;24;34873.0;sim
81;2003-09-08;;;;;;;;;;;;;;;0;0.0;2;3255491.0;sim
82;2003-09-15;;;;;;;;;;;;;;;45;2024419.0;2017;5506.0;não
83;2003-09-22;;;;;;;;;;;;;;;0;0.0;37;219222.0;sim
84;2003-09-29;;;;;;;;;;;;;;;100;620672.0;2451;3912.0;não
85;2003-10-06;;;;;;;;;;;;;;;0;0.0;12;62258.0;sim
86;2003-10-13;;;;;;;;;;;;;;;0;0.0;5;147427.0;sim
87;2003-10-20;;;;;;;;;;;;;;;6;15066566.0;225;48642.0;não
88;2003-10-27;;;;;;;;;;;;;;;0;0.0;5;1521926.0;sim
89;2003-11-03;;;;;;;;;;;;;;;4;13942925.0;116;71497.0;não
90;2003-11-10;;;;;;;;;;;;;;;7;3404644.0;264;19272.0;não
91;2003-11-24;;;;;;;;;;;;;;;84;304598.0;2536;2154.0;não
92;2003-12-01;;;;;;;;;;;;;;;45;434725.0;1068;3911.0;não
93;2003-12-08;;;;;;;;;;;;;;;0;0.0;1;3703688.0;sim
94;2003-12-15;;;;;;;;;;;;;;;14;2866825.0;640;7622.0;não
95;2004-01-05;;;;;;;;;;;;;;;0;0.0;6;403632.0;sim
96;2004-01-12;;;;;;;;;;;;;;;7;7081772.0;412;7715.0;não
97;2004-01-26;;;;;;;;;;;;;;;2;9692335.0;144;28737.0;não
98;2004-02-02;;;;;;;;;;;;;;;0;0.0;45;69779.0;sim
99;2004-02-09;;;;;;;;;;;;;;;3;11317501.0;72;57054.0;não
100;2004-02-16;;;;;;;;;;;;;;;1;36155726.0;48;85331.0;não
101;2004-02-25;;;;;;;;;;;;;;;2887;718.0;33721;132.0;não
102;2004-03-01;;;;;;;;;;;;;;;18;935648.0;553;6502.0;não
103;2004-03-08;;;;;;;;;;;;;;;13;1571218.0;611;7137.0;não
104;2004-03-15;;;;;;;;;;;;;;;1;19395031.0;98;42248.0;não
105;2004-03-22;;;;;;;;;;;;;;;315;141014.0;6363;796.0;não
